Tracking ID,Tracking Date,Store Number,Product Description,Promotions,Total Sales
3001217,8/16/17,18,SEAFOOD,0,7.6296
3001221,8/16/17,19,BEVERAGES,39,1060
3001223,8/16/17,19,BREAD/BAKERY,15,222
3001225,8/16/17,19,CLEANING,28,1342
3001226,8/16/17,19,DAIRY,116,444
3001227,8/16/17,19,DELI,18,146
3001228,8/16/17,19,EGGS,1,243
3001229,8/16/17,19,FROZEN FOODS,1,31
3001230,8/16/17,19,GROCERY I,89,1987
3001236,8/16/17,19,HOME CARE,14,258
3001242,8/16/17,19,MEATS,0,140.98401
3001243,8/16/17,19,PERSONAL CARE,15,175
3001244,8/16/17,19,PET SUPPLIES,0,1
3001246,8/16/17,19,POULTRY,0,96.194
3001247,8/16/17,19,PREPARED FOODS,0,26
3001248,8/16/17,19,PRODUCE,220,424.717
3001254,8/16/17,2,BEVERAGES,23,1044
3001256,8/16/17,2,BREAD/BAKERY,12,338.022
3001257,8/16/17,2,CELEBRATION,0,10
3001258,8/16/17,2,CLEANING,22,838
3001259,8/16/17,2,DAIRY,41,827
3001260,8/16/17,2,DELI,18,232.299
3001261,8/16/17,2,EGGS,1,187
3001262,8/16/17,2,FROZEN FOODS,1,117
3001263,8/16/17,2,GROCERY I,65,3052
3001269,8/16/17,2,HOME CARE,11,294
3001271,8/16/17,2,LAWN AND GARDEN,16,9
3001274,8/16/17,2,MAGAZINES,0,3
3001275,8/16/17,2,MEATS,1,388.863
3001276,8/16/17,2,PERSONAL CARE,20,242
3001278,8/16/17,2,PLAYERS AND ELECTRONICS,0,8
3001279,8/16/17,2,POULTRY,0,713.881
3001280,8/16/17,2,PREPARED FOODS,0,122.783005
3001281,8/16/17,2,PRODUCE,255,37
3001283,8/16/17,2,SEAFOOD,0,33.77
3001386,8/16/17,23,BEVERAGES,21,397
3001388,8/16/17,23,BREAD/BAKERY,12,226.65
3001390,8/16/17,23,CLEANING,24,589
3001391,8/16/17,23,DAIRY,45,494
3001392,8/16/17,23,DELI,18,102.628
3001393,8/16/17,23,EGGS,1,45
3001394,8/16/17,23,FROZEN FOODS,1,81
3001395,8/16/17,23,GROCERY I,70,1557
3001401,8/16/17,23,HOME CARE,12,178
3001407,8/16/17,23,MEATS,0,555.362
3001408,8/16/17,23,PERSONAL CARE,19,218
3001410,8/16/17,23,PLAYERS AND ELECTRONICS,0,8
3001411,8/16/17,23,POULTRY,0,460.176
3001412,8/16/17,23,PREPARED FOODS,0,53.551
3001413,8/16/17,23,PRODUCE,253,3
3001415,8/16/17,23,SEAFOOD,0,21.391
3001419,8/16/17,24,BEVERAGES,24,2678
3001421,8/16/17,24,BREAD/BAKERY,12,720.787
3001423,8/16/17,24,CLEANING,23,858
3001424,8/16/17,24,DAIRY,41,905
3001425,8/16/17,24,DELI,18,193.168
3001426,8/16/17,24,EGGS,1,181
3001427,8/16/17,24,FROZEN FOODS,1,171.753
3001428,8/16/17,24,GROCERY I,63,2829
3001434,8/16/17,24,HOME CARE,11,294
3001436,8/16/17,24,LAWN AND GARDEN,16,8
3001440,8/16/17,24,MEATS,0,415.47
3001441,8/16/17,24,PERSONAL CARE,16,271
3001444,8/16/17,24,POULTRY,0,541.872
3001445,8/16/17,24,PREPARED FOODS,0,101.526
3001446,8/16/17,24,PRODUCE,254,6300.022
3001448,8/16/17,24,SEAFOOD,0,54.814
3001452,8/16/17,25,BEVERAGES,22,659
3001454,8/16/17,25,BREAD/BAKERY,12,289.614
3001455,8/16/17,25,CELEBRATION,0,9
3001456,8/16/17,25,CLEANING,23,392
3001457,8/16/17,25,DAIRY,44,388
3001458,8/16/17,25,DELI,18,132.409
3001459,8/16/17,25,EGGS,1,130
3001460,8/16/17,25,FROZEN FOODS,1,61
3001461,8/16/17,25,GROCERY I,63,945
3001467,8/16/17,25,HOME CARE,12,82
3001469,8/16/17,25,LAWN AND GARDEN,16,4
3001473,8/16/17,25,MEATS,0,284.116
3001474,8/16/17,25,PERSONAL CARE,18,84
3001477,8/16/17,25,POULTRY,0,244.18
3001478,8/16/17,25,PREPARED FOODS,0,70.653
3001479,8/16/17,25,PRODUCE,253,1920.234
3001481,8/16/17,25,SEAFOOD,0,5
3001485,8/16/17,26,BEVERAGES,23,307
3001487,8/16/17,26,BREAD/BAKERY,12,221
3001488,8/16/17,26,CELEBRATION,0,10
3001489,8/16/17,26,CLEANING,22,361
3001490,8/16/17,26,DAIRY,42,177
3001491,8/16/17,26,DELI,18,110.341
3001492,8/16/17,26,EGGS,1,37
3001493,8/16/17,26,FROZEN FOODS,1,25
3001494,8/16/17,26,GROCERY I,65,1101
3001500,8/16/17,26,HOME CARE,13,154
3001506,8/16/17,26,MEATS,0,328.973
3001507,8/16/17,26,PERSONAL CARE,19,108
3001509,8/16/17,26,PLAYERS AND ELECTRONICS,0,6
3001510,8/16/17,26,POULTRY,1,90.538
3001511,8/16/17,26,PREPARED FOODS,0,5
3001512,8/16/17,26,PRODUCE,252,623.403
3001514,8/16/17,26,SEAFOOD,0,3.53
3001518,8/16/17,27,BEVERAGES,24,2801
3001520,8/16/17,27,BREAD/BAKERY,13,402.836
3001521,8/16/17,27,CELEBRATION,0,18
3001522,8/16/17,27,CLEANING,20,444
3001523,8/16/17,27,DAIRY,41,507
3001524,8/16/17,27,DELI,18,192.817
3001525,8/16/17,27,EGGS,1,127
3001526,8/16/17,27,FROZEN FOODS,1,87
3001527,8/16/17,27,GROCERY I,65,2053
3001533,8/16/17,27,HOME CARE,12,213
3001535,8/16/17,27,LAWN AND GARDEN,16,7
3001539,8/16/17,27,MEATS,0,180.439
3001540,8/16/17,27,PERSONAL CARE,19,134
3001542,8/16/17,27,PLAYERS AND ELECTRONICS,0,3
3001543,8/16/17,27,POULTRY,0,278.428
3001544,8/16/17,27,PREPARED FOODS,0,89.805
3001545,8/16/17,27,PRODUCE,255,5
3001547,8/16/17,27,SEAFOOD,0,26.337
3001548,8/16/17,28,AUTOMOTIVE,0,15
3001551,8/16/17,28,BEVERAGES,47,938
3001553,8/16/17,28,BREAD/BAKERY,18,379
3001555,8/16/17,28,CLEANING,32,742
3001556,8/16/17,28,DAIRY,151,593
3001557,8/16/17,28,DELI,18,207.552
3001558,8/16/17,28,EGGS,1,576
3001559,8/16/17,28,FROZEN FOODS,1,25
3001560,8/16/17,28,GROCERY I,101,3055.992
3001561,8/16/17,28,GROCERY II,0,4
3001563,8/16/17,28,HOME AND KITCHEN I,2,27
3001565,8/16/17,28,HOME APPLIANCES,0,1
3001566,8/16/17,28,HOME CARE,16,247
3001569,8/16/17,28,LINGERIE,3,22
3001570,8/16/17,28,LIQUOR WINE BEER,10,226
3001572,8/16/17,28,MEATS,0,93.684
3001573,8/16/17,28,PERSONAL CARE,18,212
3001574,8/16/17,28,PET SUPPLIES,0,4
3001576,8/16/17,28,POULTRY,0,171.098
3001577,8/16/17,28,PREPARED FOODS,0,38.507
3001578,8/16/17,28,PRODUCE,175,2646.4429
3001580,8/16/17,28,SEAFOOD,0,3
3001617,8/16/17,3,BEVERAGES,21,3384
3001619,8/16/17,3,BREAD/BAKERY,12,877.256
3001620,8/16/17,3,CELEBRATION,0,16
3001621,8/16/17,3,CLEANING,22,1950
3001622,8/16/17,3,DAIRY,37,1697
3001623,8/16/17,3,DELI,18,328.706
3001624,8/16/17,3,EGGS,1,502
3001625,8/16/17,3,FROZEN FOODS,1,286.856
3001626,8/16/17,3,GROCERY I,60,6162
3001632,8/16/17,3,HOME CARE,13,560
3001634,8/16/17,3,LAWN AND GARDEN,16,22
3001638,8/16/17,3,MEATS,0,1135.474
3001639,8/16/17,3,PERSONAL CARE,18,323
3001641,8/16/17,3,PLAYERS AND ELECTRONICS,0,21
3001642,8/16/17,3,POULTRY,0,1613.129
3001643,8/16/17,3,PREPARED FOODS,0,487.036
3001644,8/16/17,3,PRODUCE,254,5
3001646,8/16/17,3,SEAFOOD,0,122.735
3001650,8/16/17,30,BEVERAGES,45,516
3001652,8/16/17,30,BREAD/BAKERY,14,115
3001654,8/16/17,30,CLEANING,30,337
3001655,8/16/17,30,DAIRY,110,207
3001656,8/16/17,30,DELI,18,92
3001657,8/16/17,30,EGGS,1,154
3001658,8/16/17,30,FROZEN FOODS,1,28
3001659,8/16/17,30,GROCERY I,93,1120
3001671,8/16/17,30,MEATS,0,83.821
3001672,8/16/17,30,PERSONAL CARE,16,84
3001675,8/16/17,30,POULTRY,0,123.522995
3001677,8/16/17,30,PRODUCE,205,823.68
3001680,8/16/17,31,AUTOMOTIVE,0,12
3001683,8/16/17,31,BEVERAGES,42,791
3001685,8/16/17,31,BREAD/BAKERY,17,288
3001686,8/16/17,31,CELEBRATION,0,6
3001687,8/16/17,31,CLEANING,32,754
3001688,8/16/17,31,DAIRY,141,877
3001689,8/16/17,31,DELI,18,199.965
3001690,8/16/17,31,EGGS,1,185
3001691,8/16/17,31,FROZEN FOODS,1,47.727
3001692,8/16/17,31,GROCERY I,97,2346.024
3001693,8/16/17,31,GROCERY II,0,7
3001695,8/16/17,31,HOME AND KITCHEN I,2,18
3001696,8/16/17,31,HOME AND KITCHEN II,6,8
3001698,8/16/17,31,HOME CARE,15,304
3001704,8/16/17,31,MEATS,0,399.5386
3001705,8/16/17,31,PERSONAL CARE,19,278
3001708,8/16/17,31,POULTRY,1,146.829
3001709,8/16/17,31,PREPARED FOODS,1,49
3001710,8/16/17,31,PRODUCE,172,2304.033
3001712,8/16/17,31,SEAFOOD,0,1
3001716,8/16/17,32,BEVERAGES,33,208
3001718,8/16/17,32,BREAD/BAKERY,15,101
3001720,8/16/17,32,CLEANING,32,231
3001721,8/16/17,32,DAIRY,98,84
3001722,8/16/17,32,DELI,18,80
3001723,8/16/17,32,EGGS,1,93
3001724,8/16/17,32,FROZEN FOODS,1,5
3001725,8/16/17,32,GROCERY I,94,807
3001728,8/16/17,32,HOME AND KITCHEN I,2,17
3001731,8/16/17,32,HOME CARE,14,81
3001734,8/16/17,32,LINGERIE,5,1
3001737,8/16/17,32,MEATS,0,60.69
3001738,8/16/17,32,PERSONAL CARE,19,64
3001741,8/16/17,32,POULTRY,0,82.32
3001743,8/16/17,32,PRODUCE,225,325.106
3001746,8/16/17,33,AUTOMOTIVE,0,3
3001748,8/16/17,33,BEAUTY,2,1
3001749,8/16/17,33,BEVERAGES,40,431
3001751,8/16/17,33,BREAD/BAKERY,15,231
3001752,8/16/17,33,CELEBRATION,0,5
3001753,8/16/17,33,CLEANING,28,692
3001754,8/16/17,33,DAIRY,126,380
3001755,8/16/17,33,DELI,18,160
3001756,8/16/17,33,EGGS,1,194
3001757,8/16/17,33,FROZEN FOODS,1,39
3001758,8/16/17,33,GROCERY I,95,2189
3001760,8/16/17,33,HARDWARE,0,1
3001761,8/16/17,33,HOME AND KITCHEN I,2,25
3001762,8/16/17,33,HOME AND KITCHEN II,6,5
3001763,8/16/17,33,HOME APPLIANCES,0,1
3001764,8/16/17,33,HOME CARE,15,190
3001767,8/16/17,33,LINGERIE,3,18
3001768,8/16/17,33,LIQUOR WINE BEER,10,111
3001770,8/16/17,33,MEATS,0,291.105
3001771,8/16/17,33,PERSONAL CARE,15,256
3001773,8/16/17,33,PLAYERS AND ELECTRONICS,0,4
3001774,8/16/17,33,POULTRY,0,245.133
3001775,8/16/17,33,PREPARED FOODS,1,31
3001776,8/16/17,33,PRODUCE,197,2103.285
3001778,8/16/17,33,SEAFOOD,0,8
3001779,8/16/17,34,AUTOMOTIVE,0,5
3001782,8/16/17,34,BEVERAGES,41,1064
3001784,8/16/17,34,BREAD/BAKERY,17,470
3001785,8/16/17,34,CELEBRATION,0,28
3001786,8/16/17,34,CLEANING,33,844
3001787,8/16/17,34,DAIRY,138,526
3001788,8/16/17,34,DELI,18,185.98
3001789,8/16/17,34,EGGS,1,135
3001790,8/16/17,34,FROZEN FOODS,1,111.486
3001791,8/16/17,34,GROCERY I,102,2515.524
3001792,8/16/17,34,GROCERY II,0,5
3001794,8/16/17,34,HOME AND KITCHEN I,2,25
3001795,8/16/17,34,HOME AND KITCHEN II,6,44
3001796,8/16/17,34,HOME APPLIANCES,0,1
3001797,8/16/17,34,HOME CARE,14,343
3001800,8/16/17,34,LINGERIE,5,18
3001803,8/16/17,34,MEATS,0,198.817
3001804,8/16/17,34,PERSONAL CARE,20,304
3001807,8/16/17,34,POULTRY,0,157.826
3001808,8/16/17,34,PREPARED FOODS,1,27
3001809,8/16/17,34,PRODUCE,203,1492.19
3001811,8/16/17,34,SEAFOOD,0,9
3001812,8/16/17,35,AUTOMOTIVE,0,1
3001814,8/16/17,35,BEAUTY,2,1
3001815,8/16/17,35,BEVERAGES,40,374
3001817,8/16/17,35,BREAD/BAKERY,16,50
3001818,8/16/17,35,CELEBRATION,0,7
3001819,8/16/17,35,CLEANING,28,205
3001820,8/16/17,35,DAIRY,101,109
3001821,8/16/17,35,DELI,18,26
3001822,8/16/17,35,EGGS,2,108
3001823,8/16/17,35,FROZEN FOODS,1,11.877
3001824,8/16/17,35,GROCERY I,92,862
3001825,8/16/17,35,GROCERY II,0,3
3001826,8/16/17,35,HARDWARE,0,1
3001827,8/16/17,35,HOME AND KITCHEN I,2,11
3001828,8/16/17,35,HOME AND KITCHEN II,6,13
3001829,8/16/17,35,HOME APPLIANCES,0,1
3001830,8/16/17,35,HOME CARE,14,104
3001833,8/16/17,35,LINGERIE,5,7
3001836,8/16/17,35,MEATS,0,193.307
3001837,8/16/17,35,PERSONAL CARE,19,43
3001840,8/16/17,35,POULTRY,0,81.097
3001841,8/16/17,35,PREPARED FOODS,0,19
3001842,8/16/17,35,PRODUCE,212,627.733
3001844,8/16/17,35,SEAFOOD,0,1
3001845,8/16/17,36,AUTOMOTIVE,0,5
3001848,8/16/17,36,BEVERAGES,40,1025
3001850,8/16/17,36,BREAD/BAKERY,16,465
3001851,8/16/17,36,CELEBRATION,0,9
3001852,8/16/17,36,CLEANING,33,859
3001853,8/16/17,36,DAIRY,142,528
3001854,8/16/17,36,DELI,18,154.806
3001855,8/16/17,36,EGGS,1,115
3001856,8/16/17,36,FROZEN FOODS,1,78.06
3001857,8/16/17,36,GROCERY I,99,1881.333
3001860,8/16/17,36,HOME AND KITCHEN I,2,31
3001861,8/16/17,36,HOME AND KITCHEN II,6,5
3001863,8/16/17,36,HOME CARE,16,269
3001865,8/16/17,36,LAWN AND GARDEN,12,4
3001866,8/16/17,36,LINGERIE,5,14
3001869,8/16/17,36,MEATS,0,107.645
3001870,8/16/17,36,PERSONAL CARE,19,169
3001873,8/16/17,36,POULTRY,0,76.678
3001874,8/16/17,36,PREPARED FOODS,0,30.554
3001875,8/16/17,36,PRODUCE,173,2792.749
3001877,8/16/17,36,SEAFOOD,0,1
3001881,8/16/17,37,BEVERAGES,26,1064
3001883,8/16/17,37,BREAD/BAKERY,12,488.135
3001884,8/16/17,37,CELEBRATION,0,11
3001885,8/16/17,37,CLEANING,24,1074
3001886,8/16/17,37,DAIRY,47,938
3001887,8/16/17,37,DELI,18,116.798996
3001888,8/16/17,37,EGGS,1,181
3001889,8/16/17,37,FROZEN FOODS,1,191
3001890,8/16/17,37,GROCERY I,65,3404
3001896,8/16/17,37,HOME CARE,13,376
3001898,8/16/17,37,LAWN AND GARDEN,16,10
3001902,8/16/17,37,MEATS,0,543.763
3001903,8/16/17,37,PERSONAL CARE,18,212
3001905,8/16/17,37,PLAYERS AND ELECTRONICS,0,13
3001906,8/16/17,37,POULTRY,0,264.094
3001907,8/16/17,37,PREPARED FOODS,0,164.836
3001908,8/16/17,37,PRODUCE,253,7
3001910,8/16/17,37,SEAFOOD,0,17.774
3001914,8/16/17,38,BEVERAGES,23,611
3001916,8/16/17,38,BREAD/BAKERY,12,698.825
3001917,8/16/17,38,CELEBRATION,0,14
3001918,8/16/17,38,CLEANING,20,847
3001919,8/16/17,38,DAIRY,45,827
3001920,8/16/17,38,DELI,19,180.008
3001921,8/16/17,38,EGGS,1,98
3001922,8/16/17,38,FROZEN FOODS,1,160
3001923,8/16/17,38,GROCERY I,57,2870
3001929,8/16/17,38,HOME CARE,11,443
3001931,8/16/17,38,LAWN AND GARDEN,16,7
3001933,8/16/17,38,LIQUOR WINE BEER,10,32
3001935,8/16/17,38,MEATS,0,155.259
3001936,8/16/17,38,PERSONAL CARE,17,269
3001938,8/16/17,38,PLAYERS AND ELECTRONICS,1,11
3001939,8/16/17,38,POULTRY,0,172.089
3001940,8/16/17,38,PREPARED FOODS,0,165.418
3001941,8/16/17,38,PRODUCE,253,1
3001943,8/16/17,38,SEAFOOD,0,19.067001
3001944,8/16/17,39,AUTOMOTIVE,0,4
3001946,8/16/17,39,BEAUTY,2,3
3001947,8/16/17,39,BEVERAGES,51,658
3001949,8/16/17,39,BREAD/BAKERY,15,539
3001951,8/16/17,39,CLEANING,34,1056
3001952,8/16/17,39,DAIRY,155,535
3001953,8/16/17,39,DELI,18,134.31
3001954,8/16/17,39,EGGS,1,221
3001955,8/16/17,39,FROZEN FOODS,1,43
3001956,8/16/17,39,GROCERY I,107,3484.952
3001958,8/16/17,39,HARDWARE,0,1
3001960,8/16/17,39,HOME AND KITCHEN II,6,14
3001962,8/16/17,39,HOME CARE,16,292
3001963,8/16/17,39,LADIESWEAR,0,14
3001964,8/16/17,39,LAWN AND GARDEN,13,8
3001965,8/16/17,39,LINGERIE,5,8
3001968,8/16/17,39,MEATS,0,112.365
3001969,8/16/17,39,PERSONAL CARE,19,203
3001972,8/16/17,39,POULTRY,1,167.5024
3001973,8/16/17,39,PREPARED FOODS,0,84.007
3001974,8/16/17,39,PRODUCE,142,2463.323
3001976,8/16/17,39,SEAFOOD,0,11
3001980,8/16/17,4,BEVERAGES,21,1821
3001982,8/16/17,4,BREAD/BAKERY,12,267.395
3001983,8/16/17,4,CELEBRATION,0,5
3001984,8/16/17,4,CLEANING,23,542
3001985,8/16/17,4,DAIRY,43,558
3001986,8/16/17,4,DELI,18,178.768
3001987,8/16/17,4,EGGS,1,135
3001988,8/16/17,4,FROZEN FOODS,1,104.375
3001989,8/16/17,4,GROCERY I,61,2055
3001995,8/16/17,4,HOME CARE,14,364
3001997,8/16/17,4,LAWN AND GARDEN,16,10
3002001,8/16/17,4,MEATS,0,231.781
3002004,8/16/17,4,PLAYERS AND ELECTRONICS,0,8
3002005,8/16/17,4,POULTRY,0,530.02
3002006,8/16/17,4,PREPARED FOODS,0,88.19
3002007,8/16/17,4,PRODUCE,253,3832.635
3002009,8/16/17,4,SEAFOOD,0,41.473
3002010,8/16/17,40,AUTOMOTIVE,0,6
3002013,8/16/17,40,BEVERAGES,46,863
3002015,8/16/17,40,BREAD/BAKERY,18,292
3002016,8/16/17,40,CELEBRATION,0,21
3002017,8/16/17,40,CLEANING,31,807
3002018,8/16/17,40,DAIRY,129,555
3002019,8/16/17,40,DELI,18,216
3002020,8/16/17,40,EGGS,1,102
3002021,8/16/17,40,FROZEN FOODS,1,36.973
3002022,8/16/17,40,GROCERY I,106,3122
3002023,8/16/17,40,GROCERY II,0,12
3002025,8/16/17,40,HOME AND KITCHEN I,2,36
